"filename", "language", "HTML", "Markdown", "JavaScript", "JSON", "CSS", "comment", "blank", "total"
"c:\xampp\htdocs\project\README.md", "Markdown", 0, 1, 0, 0, 0, 0, 1, 2
"c:\xampp\htdocs\project\assets\css\animate.css", "CSS", 0, 0, 0, 0, 2, 7, 2, 11
"c:\xampp\htdocs\project\assets\css\flex-slider.css", "CSS", 0, 0, 0, 0, 255, 26, 1, 282
"c:\xampp\htdocs\project\assets\css\fontawesome.css", "CSS", 0, 0, 0, 0, 4616, 7, 2183, 6806
"c:\xampp\htdocs\project\assets\css\owl.css", "CSS", 0, 0, 0, 0, 146, 26, 14, 186
"c:\xampp\htdocs\project\assets\css\spapp.css", "CSS", 0, 0, 0, 0, 5, 0, 0, 5
"c:\xampp\htdocs\project\assets\css\templatemo-snapx-photography.css", "CSS", 0, 0, 0, 0, 2177, 108, 375, 2660
"c:\xampp\htdocs\project\assets\js\custom.js", "JavaScript", 0, 0, 309, 0, 0, 52, 63, 424
"c:\xampp\htdocs\project\assets\js\isotope.js", "JavaScript", 0, 0, 2, 0, 0, 9, 1, 12
"c:\xampp\htdocs\project\assets\js\isotope.min.js", "JavaScript", 0, 0, 5, 0, 0, 7, 4, 16
"c:\xampp\htdocs\project\assets\js\jquery.spapp.js", "JavaScript", 0, 0, 52, 0, 0, 4, 10, 66
"c:\xampp\htdocs\project\assets\js\jquery.spapp.min.js", "JavaScript", 0, 0, 1, 0, 0, 4, 1, 6
"c:\xampp\htdocs\project\assets\js\owl-carousel.js", "JavaScript", 0, 0, 2002, 0, 0, 958, 488, 3448
"c:\xampp\htdocs\project\assets\js\popup.js", "JavaScript", 0, 0, 2, 0, 0, 2, 1, 5
"c:\xampp\htdocs\project\assets\js\tabs.js", "JavaScript", 0, 0, 12597, 0, 0, 1598, 2387, 16582
"c:\xampp\htdocs\project\assets\json\contests.json", "JSON", 0, 0, 0, 60, 0, 0, 1, 61
"c:\xampp\htdocs\project\assets\json\users.json", "JSON", 0, 0, 0, 109, 0, 0, 1, 110
"c:\xampp\htdocs\project\index.html", "HTML", 148, 0, 0, 0, 0, 12, 36, 196
"c:\xampp\htdocs\project\vendor\bootstrap\css\bootstrap.min.css", "CSS", 0, 0, 0, 0, 2, 5, 0, 7
"c:\xampp\htdocs\project\vendor\bootstrap\js\bootstrap.min.js", "JavaScript", 0, 0, 1, 0, 0, 6, 0, 7
"c:\xampp\htdocs\project\vendor\jquery\contest-details.js", "JavaScript", 0, 0, 61, 0, 0, 0, 9, 70
"c:\xampp\htdocs\project\vendor\jquery\jq.js", "JavaScript", 0, 0, 31, 0, 0, 0, 6, 37
"c:\xampp\htdocs\project\vendor\jquery\jquery.js", "JavaScript", 0, 0, 6689, 0, 0, 1725, 1951, 10365
"c:\xampp\htdocs\project\vendor\jquery\jquery.min.js", "JavaScript", 0, 0, 1, 0, 0, 1, 0, 2
"c:\xampp\htdocs\project\views\categories.html", "HTML", 169, 0, 0, 0, 0, 0, 25, 194
"c:\xampp\htdocs\project\views\contest-details.html", "HTML", 70, 0, 0, 0, 0, 0, 4, 74
"c:\xampp\htdocs\project\views\contests.html", "HTML", 181, 0, 0, 0, 0, 0, 13, 194
"c:\xampp\htdocs\project\views\home.html", "HTML", 172, 0, 0, 0, 0, 9, 6, 187
"c:\xampp\htdocs\project\views\sign-in.html", "HTML", 91, 0, 0, 0, 0, 6, 8, 105
"c:\xampp\htdocs\project\views\sign-up.html", "HTML", 95, 0, 0, 0, 0, 6, 8, 109
"c:\xampp\htdocs\project\views\users.html", "HTML", 162, 0, 0, 0, 0, 0, 18, 180
"Total", "-", 1088, 1, 21753, 169, 7203, 4578, 7617, 42409